Support Tickets Export - CONFIDENTIAL
Generated 04/01/2025 - Source: HelpDesk

Ticket ID,Opened,Customer,Priority,Category,Agent,Hours,Status
TK-8010,18-Mar-2025,Customer 922,Hi,technical,"Patel, Raj",5.6,Pending
TK-8185,1/28/2025,Customer 315,Low,Acct,Leo Marsh,8.2,Open
TK-8142,2/13/2025,Customer 334,L,Misc,Raj Patel,10.3 hrs,Open
TK-8068,2025-02-13,Customer 436,high,Other,Tina Voss,3.4,Pending
TK-8189,1/12/2025,Customer 983,High,Bill,"Voss, Tina",6.8 hrs,Closed
TK-8037,2025-02-28,Customer 731,H,Technical,Raj Patel,0.8,Closed
TK-8191,1/18/2025,Customer 502,High,Bill,Nina Alvarez,9.6,Open
TK-8040,2025-01-26,Customer 955,Hi,Misc,Sam Okafor,11.8 hrs,Closed
TK-8194,2/4/2025,Customer 668,Medium,Acct,Kim Lee,8.5,Pending
TK-8170,1/12/2025,Customer 209,low,Acct,"Lee, Kim",0.7,Closed
TK-8108,1/1/2025,Customer 430,Med,Account,Raj Patel,4.2,Closed
TK-8171,2025-02-18,Customer 258,Med,Account,Tina Voss,10.0 hrs,Open
TK-8132,17-Feb-2025,Customer 889,Med,billing,"Okafor, Sam",0.9 hrs,Pending
TK-8144,2025-01-25,Customer 800,Hi,Billing,Sam Okafor,1.2 hrs,Pending
TK-8172,06-Feb-2025,Customer 597,Med,Misc,Tina Voss,4.2 hrs,Open
TK-8123,2025-03-17,Customer 563,Med,technical,Tina Voss,3.4,Closed
TK-8041,2025-01-09,Customer 614,Medium,Account,Kim Lee,0.5 hrs,Closed
TK-8093,2025-02-09,Customer 445,Med,account,Nina Alvarez,4.7,Closed
TK-8078,2/21/2025,Customer 220,Medium,technical,Kim Lee,11.7,Pending
TK-8046,2025-01-03,Customer 802,Medium,billing,Leo Marsh,10.1,Closed
TK-8060,17-Mar-2025,Customer 244,L,other,"Lee, Kim",11.9 hrs,Pending
TK-8187,3/24/2025,Customer 682,High,Technical,Nina Alvarez,3.6,Closed
TK-8080,1/14/2025,Customer 860,,Bill,Leo Marsh,3.2,Closed
TK-8001,11-Feb-2025,Customer 714,Medium,Account,Raj Patel,3.7,Open
TK-8077,2/18/2025,Customer 352,H,account,Raj Patel,2.1 hrs,Open
TK-8011,1/10/2025,Customer 544,High,billing,Tina Voss,11.7 hrs,Closed
TK-8089,2/23/2025,Customer 292,medium,Other,Kim Lee,8.6 hrs,Pending
TK-8090,3/24/2025,Customer 307,,Technical,Raj Patel,2.2,Pending
TK-8087,1/14/2025,Customer 653,H,Other,Tina Voss,1.7 hrs,Pending
TK-8086,01-Feb-2025,Customer 846,High,Misc,Kim Lee,1.1 hrs,Pending
TK-8092,31-Jan-2025,Customer 593,H,Misc,Leo Marsh,11.6,Pending
TK-8029,1/7/2025,Customer 558,Medium,billing,Nina Alvarez,1.2 hrs,Open
TK-8028,2025-02-28,Customer 544,medium,Technical,Kim Lee,2.0,Open
TK-8026,17-Mar-2025,Customer 962,Low,Bill,Raj Patel,6.9,Closed
TK-8137,2025-02-18,Customer 295,Hi,Billing,"Patel, Raj",8.7,Closed
TK-8097,05-Feb-2025,Customer 879,low,Misc,Tina Voss,6.9,Open
TK-8181,1/25/2025,Customer 691,Low,Acct,Leo Marsh,7.3,Closed
TK-8167,2025-03-13,Customer 120,Hi,Account,Tina Voss,6.8 hrs,Closed
TK-8052,2025-02-23,Customer 961,M,Technical,Nina Alvarez,2.0 hrs,Pending
TK-8150,28-Feb-2025,Customer 438,High,other,"Voss, Tina",1.1,Closed
TK-8094,2025-01-12,Customer 373,M,Misc,Raj Patel,4.4 hrs,Closed
TK-8090,3/24/2025,Customer 307,medium,Technical,Raj Patel,2.2,Pending
TK-8072,06-Feb-2025,Customer 379,High,Technical,Tina Voss,2.9 hrs,Closed
TK-8019,16-Jan-2025,Customer 971,Low,other,Tina Voss,10.9,Open
TK-8133,05-Jan-2025,Customer 163,L,Bill,Kim Lee,0.7 hrs,Closed
TK-8012,2025-03-03,Customer 390,High,other,"Alvarez, Nina",11.2,Closed
TK-8156,2/6/2025,Customer 467,high,billing,Raj Patel,10.0,Open
TK-8027,1/29/2025,Customer 858,Hi,billing,"Patel, Raj",8.6,Closed
TK-8066,15-Jan-2025,Customer 469,Medium,technical,Leo Marsh,11.1,Closed
TK-8058,2025-02-28,Customer 857,L,Tech,Leo Marsh,1.8 hrs,Pending
TK-8169,2025-01-25,Customer 221,H,billing,Tina Voss,1.0 hrs,Closed
TK-8182,1/21/2025,Customer 979,L,Acct,Sam Okafor,1.2,Closed
TK-8063,2025-01-03,Customer 165,low,technical,Nina Alvarez,two,Closed
TK-8110,2/18/2025,Customer 993,H,other,Raj Patel,5.8,Closed
TK-8085,2025-03-10,Customer 575,L,Technical,Nina Alvarez,2.0,Closed
TK-8113,23-Mar-2025,Customer 878,High,other,Nina Alvarez,0.4,Open
TK-8056,07-Feb-2025,Customer 366,Low,billing,Raj Patel,3.0,Closed
TK-8081,1/30/2025,Customer 360,High,Other,Nina Alvarez,10.2,Open
TK-8006,2025-02-25,Customer 327,Medium,Account,Tina Voss,11.3,Pending
TK-8179,2025-02-09,Customer 938,medium,account,Kim Lee,4.3 hrs,Pending
TK-8138,2025-01-06,Customer 722,Hi,billing,Sam Okafor,5.4,Pending
TK-8135,2/13/2025,Customer 175,medium,Acct,"Alvarez, Nina",9.4,Pending
TK-8126,2/12/2025,Customer 827,medium,other,"Alvarez, Nina",2.3,Open
TK-8200,2025-03-27,Customer 414,L,billing,Leo Marsh,3.3,Closed
TK-8005,2/15/2025,Customer 837,M,Billing,Raj Patel,3.7 hrs,Closed
TK-8186,07-Feb-2025,Customer 219,Med,Other,Nina Alvarez,7.3,Open
TK-8161,26-Mar-2025,Customer 825,Low,technical,Sam Okafor,6.6,Closed
TK-8139,20-Feb-2025,Customer 714,Hi,other,Kim Lee,4.4,Pending
TK-8149,2025-03-17,Customer 596,M,account,"Marsh, Leo",7.4,Closed
TK-8069,2025-03-07,Customer 975,low,Bill,Nina Alvarez,5.0 hrs,Open
TK-8119,23-Mar-2025,Customer 124,high,Other,Leo Marsh,5.4 hrs,Closed
TK-8122,2/4/2025,Customer 882,M,account,Leo Marsh,1.1,Open
TK-8129,3/5/2025,Customer 882,Med,Tech,Tina Voss,5.3,Open
TK-8045,1/22/2025,Customer 285,H,Technical,Sam Okafor,1.8,Closed
TK-8063,2025-01-03,Customer 165,low,technical,Nina Alvarez,2.6 hrs,Closed
TK-8096,2025-03-27,Customer 637,high,Misc,Kim Lee,0.4 hrs,Closed
TK-8121,18-Mar-2025,Customer 789,,Technical,Sam Okafor,6.2 hrs,Open
TK-8103,2025-01-19,Customer 409,Med,Billing,Leo Marsh,1.8,Closed
TK-8145,29-Mar-2025,Customer 458,High,Tech,Raj Patel,1.9,Pending
TK-8151,2025-01-24,Customer 115,Med,Other,Leo Marsh,10.7,Closed
TK-8002,10-Jan-2025,Customer 131,high,Technical,Sam Okafor,8.3,Pending
TK-8003,2025-01-10,Customer 553,Low,Misc,Nina Alvarez,2.1,Pending
TK-8140,3/16/2025,Customer 975,H,Technical,Kim Lee,5.6,Open
TK-8065,2025-01-23,Customer 829,Medium,other,Leo Marsh,10.5,Closed
TK-8154,01-Jan-2025,Customer 891,Low,billing,"Voss, Tina",4.7 hrs,Closed
TK-8053,22-Feb-2025,Customer 370,H,Bill,Nina Alvarez,9.0,Closed
TK-8031,19-Mar-2025,Customer 585,M,Acct,Nina Alvarez,6.0,Closed
TK-8184,2025-01-20,Customer 690,High,Account,"Okafor, Sam",11.3 hrs,Open
TK-8014,2/27/2025,Customer 475,Hi,Billing,Leo Marsh,11.5 hrs,Closed
TK-8157,18-Feb-2025,Customer 709,Hi,Tech,Nina Alvarez,10.4,Pending
TK-8048,1/25/2025,Customer 554,high,Tech,Leo Marsh,2.3,Pending
TK-8197,04-Feb-2025,Customer 942,medium,Billing,Kim Lee,7.0,Closed
TK-8121,18-Mar-2025,Customer 789,M,Technical,Sam Okafor,6.2 hrs,Open
TK-8107,2025-03-14,Customer 851,High,Acct,Leo Marsh,1.3,Closed
TK-8166,2025-01-31,Customer 643,Medium,account,Raj Patel,4.4 hrs,Closed
TK-8081,1/30/2025,Customer 360,,Other,Nina Alvarez,10.2,Open
TK-8159,2025-03-06,Customer 727,high,Account,"Marsh, Leo",5.7 hrs,Pending
TK-8100,2025-03-09,Customer 480,L,Tech,Raj Patel,8.0 hrs,Closed
TK-8120,25-Feb-2025,Customer 719,low,billing,"Okafor, Sam",1.1,Pending
TK-8190,2025-02-03,Customer 968,low,Technical,"Lee, Kim",2.4,Open
TK-8199,2025-03-24,Customer 946,Hi,other,Nina Alvarez,9.5,Closed
TK-8055,1/21/2025,Customer 592,Hi,technical,"Marsh, Leo",6.7,Closed
TK-8112,09-Mar-2025,Customer 645,Medium,Acct,Tina Voss,8.5,Open
TK-8043,16-Jan-2025,Customer 249,M,Misc,Raj Patel,3.9,Open
TK-8020,16-Mar-2025,Customer 896,Hi,Account,"Okafor, Sam",5.6,Open
TK-8024,1/29/2025,Customer 181,Medium,Other,Nina Alvarez,8.5,Closed
TK-8023,2025-03-18,Customer 639,low,Other,"Lee, Kim",5.7 hrs,Closed
TK-8125,23-Mar-2025,Customer 326,high,technical,Tina Voss,6.1,Closed
TK-8127,2025-03-22,Customer 568,Hi,Other,Nina Alvarez,3.9,Pending
TK-8177,01-Feb-2025,Customer 617,H,Bill,Raj Patel,7.3 hrs,Closed
TK-8017,2025-02-25,Customer 128,Low,Misc,Nina Alvarez,11.0,Pending
TK-8016,07-Mar-2025,Customer 227,high,account,Nina Alvarez,6.4 hrs,Pending
TK-8195,2/19/2025,Customer 564,M,Billing,Kim Lee,10.5,Closed
TK-8009,1/16/2025,Customer 554,low,Technical,Nina Alvarez,9.8,Open
TK-8080,1/14/2025,Customer 860,Hi,Bill,Leo Marsh,3.2,Closed
TK-8130,1/22/2025,Customer 266,M,Acct,Raj Patel,3.1,Pending
TK-8153,3/8/2025,Customer 484,low,Billing,"Alvarez, Nina",6.8 hrs,Open
TK-8176,04-Jan-2025,Customer 644,L,Account,"Marsh, Leo",6.8,Closed
TK-8188,2025-03-05,Customer 327,L,Tech,Tina Voss,5.6,Closed
TK-8160,3/16/2025,Customer 879,Med,account,"Alvarez, Nina",10.7,Pending
TK-8152,2025-03-27,Customer 198,Medium,account,Sam Okafor,7.7 hrs,Pending
TK-8075,11-Feb-2025,Customer 366,L,billing,Leo Marsh,4.8 hrs,Pending
TK-8114,2025-02-23,Customer 105,Low,Other,"Alvarez, Nina",5.8,Closed
TK-8049,18-Jan-2025,Customer 463,Medium,Tech,Sam Okafor,6.8,Pending
TK-8158,2/26/2025,Customer 609,Low,Technical,Kim Lee,10.8,Pending
TK-8131,22-Feb-2025,Customer 900,Hi,Misc,"Lee, Kim",10.4,Closed
TK-8165,1/14/2025,Customer 737,M,billing,Raj Patel,3.6,Closed
TK-8057,04-Jan-2025,Customer 545,Low,other,"Alvarez, Nina",9.4,Open
TK-8035,2/14/2025,Customer 720,Hi,Bill,Leo Marsh,11.7 hrs,Pending
TK-8148,2/1/2025,Customer 525,H,Technical,Sam Okafor,8.6,Open
TK-8051,31-Mar-2025,Customer 859,High,technical,Sam Okafor,2.9,Open
TK-8095,2025-01-18,Customer 246,M,billing,Tina Voss,6.4,Pending
TK-8007,14-Feb-2025,Customer 493,High,Acct,Leo Marsh,7.8 hrs,Closed
TK-8084,04-Feb-2025,Customer 292,low,technical,Raj Patel,1.4,Closed
TK-8143,23-Mar-2025,Customer 928,Med,Bill,Tina Voss,4.7 hrs,Open
TK-8141,2025-03-28,Customer 611,high,account,Leo Marsh,4.3,Closed
TK-8036,2025-02-20,Customer 947,high,account,Raj Patel,6.5 hrs,Open
TK-8061,25-Jan-2025,Customer 419,High,Tech,Tina Voss,10.1,Open
TK-8024,1/29/2025,Customer 181,Medium,Other,Nina Alvarez,8.5,Closed
TK-8021,2025-01-02,Customer 774,Low,billing,"Voss, Tina",6.4 hrs,Closed
TK-8004,26-Jan-2025,Customer 241,High,Other,Sam Okafor,8.3,Closed
TK-8136,2025-03-01,Customer 907,low,billing,Tina Voss,6.1,Pending
TK-8013,1/25/2025,Customer 499,Hi,Acct,Sam Okafor,9.6,Closed
TK-8016,07-Mar-2025,Customer 227,high,account,Nina Alvarez,6.4 hrs,Pending
TK-8102,30-Jan-2025,Customer 925,high,Technical,Nina Alvarez,7.6,Open
TK-8088,2025-03-24,Customer 933,Hi,Technical,Raj Patel,1.4,Open
TK-8022,05-Feb-2025,Customer 425,L,Tech,Kim Lee,8.5 hrs,Open
TK-8018,2025-02-01,Customer 243,high,account,Raj Patel,2.6,Closed
TK-8175,2025-01-12,Customer 899,Low,billing,Tina Voss,10.2,Closed
TK-8044,14-Feb-2025,Customer 237,High,Acct,Nina Alvarez,1.3,Closed
TK-8059,2/1/2025,Customer 445,high,Bill,Tina Voss,2.2,Closed
TK-8111,2025-03-02,Customer 829,low,technical,Tina Voss,0.9,Closed
TK-8178,27-Feb-2025,Customer 201,High,Account,"Patel, Raj",4.2,Pending
TK-8101,2025-03-26,Customer 971,H,technical,Leo Marsh,6.7,Closed
TK-8076,28-Jan-2025,Customer 213,Hi,billing,"Lee, Kim",6.9,Open
TK-8025,2/21/2025,Customer 927,low,other,"Alvarez, Nina",7.9 hrs,Closed
TK-8174,30-Jan-2025,Customer 618,low,Account,"Patel, Raj",5.4 hrs,Open
TK-8015,13-Jan-2025,Customer 167,high,Technical,"Voss, Tina",8.1,Closed
TK-8034,03-Jan-2025,Customer 285,Medium,Other,Raj Patel,4.6 hrs,Open
TK-8105,1/1/2025,Customer 580,L,Bill,Leo Marsh,11.8,Closed
TK-8115,15-Feb-2025,Customer 261,Hi,Bill,"Patel, Raj",8.3,Closed
TK-8116,3/29/2025,Customer 821,Hi,Acct,Leo Marsh,6.8,Closed
TK-8062,2/4/2025,Customer 245,Med,Misc,Kim Lee,5.9 hrs,Pending
TK-8118,2025-03-03,Customer 235,Hi,Bill,"Patel, Raj",8.1,Pending
TK-8064,2025-03-06,Customer 323,Medium,Technical,"Marsh, Leo",6.4,Closed
TK-8038,22-Jan-2025,Customer 669,Medium,billing,Leo Marsh,2.3,Closed
TK-8039,1/6/2025,Customer 240,Medium,billing,Nina Alvarez,9.2,Open
TK-8155,2025-01-09,Customer 314,low,Account,"Marsh, Leo",3.9 hrs,Open
TK-8164,25-Mar-2025,Customer 690,Hi,Tech,Sam Okafor,4.5,Closed
TK-8079,1/3/2025,Customer 573,M,Technical,"Alvarez, Nina",12.0,Closed
TK-8109,1/11/2025,Customer 187,High,account,Tina Voss,2.5,Pending
TK-8008,1/2/2025,Customer 967,medium,billing,Raj Patel,10.3,Pending
TK-8168,27-Mar-2025,Customer 143,Low,Tech,Tina Voss,2.4,Pending
TK-8183,15-Feb-2025,Customer 635,Hi,Misc,Tina Voss,10.1,Open
TK-8134,3/3/2025,Customer 296,medium,account,"Alvarez, Nina",4.3,Closed
TK-8173,2/1/2025,Customer 672,low,billing,Raj Patel,11.6 hrs,Pending
TK-8193,3/24/2025,Customer 949,L,other,Kim Lee,5.2,Closed
TK-8070,2025-02-17,Customer 461,L,Bill,"Marsh, Leo",7.9,Open
TK-8033,3/8/2025,Customer 913,Medium,Account,"Voss, Tina",2.1 hrs,Pending
TK-8183,15-Feb-2025,Customer 635,Hi,Misc,Tina Voss,10.1,Open
TK-8074,1/24/2025,Customer 175,low,other,"Voss, Tina",5.1 hrs,Pending
TK-8030,2/8/2025,Customer 774,Hi,Billing,Raj Patel,8.9,Open
TK-8099,1/6/2025,Customer 541,Medium,Technical,Kim Lee,8.3,Closed
TK-8117,2025-02-05,Customer 900,high,account,"Voss, Tina",8.3,Closed
TK-8067,11-Feb-2025,Customer 162,Medium,billing,Leo Marsh,3.6,Pending
TK-8106,1/19/2025,Customer 845,Medium,other,"Voss, Tina",5.2,Pending
TK-8180,2/15/2025,Customer 560,low,billing,Raj Patel,8.7 hrs,Pending
TK-8163,2025-02-16,Customer 311,medium,other,Leo Marsh,8.6 hrs,Open
TK-8124,18-Jan-2025,Customer 785,Low,Other,"Alvarez, Nina",2.5,Pending
TK-8042,20-Jan-2025,Customer 112,Hi,Other,Sam Okafor,9.2 hrs,Pending
TK-8082,23-Feb-2025,Customer 392,L,billing,Nina Alvarez,0.4,Closed
TK-8098,1/28/2025,Customer 173,low,billing,Nina Alvarez,8.5,Open
TK-8128,16-Mar-2025,Customer 353,Low,other,"Alvarez, Nina",10.6,Pending
TK-8192,14-Mar-2025,Customer 208,high,Account,"Patel, Raj",2.6 hrs,Open
TK-8196,2/10/2025,Customer 193,low,account,Sam Okafor,0.5,Closed
TK-8050,25-Jan-2025,Customer 172,H,Technical,Tina Voss,6.6,Pending
TK-8071,2/7/2025,Customer 309,medium,Acct,"Alvarez, Nina",1.1,Open
TK-8047,02-Feb-2025,Customer 121,medium,other,Leo Marsh,10.4,Closed
TK-8054,2025-03-15,Customer 942,H,Other,Leo Marsh,1.5,Pending
TK-8073,2025-03-09,Customer 473,Med,account,Raj Patel,10.7,Closed
TK-8146,3/7/2025,Customer 822,High,account,Raj Patel,1.9,Closed
TK-8032,12-Mar-2025,Customer 605,Medium,Other,Leo Marsh,4.2,Closed
TK-8083,2025-03-08,Customer 503,L,account,"Lee, Kim",5.2,Open
TK-8198,2025-03-14,Customer 767,Low,other,Raj Patel,1.8 hrs,Open
TK-8162,2025-02-06,Customer 642,H,Tech,"Patel, Raj",7.2 hrs,Pending
TK-8091,2025-01-28,Customer 343,L,Bill,Leo Marsh,8.6,Open
TK-8147,1/30/2025,Customer 904,Hi,Other,"Lee, Kim",3.7,Closed
TK-8104,06-Jan-2025,Customer 457,Med,Account,Sam Okafor,11.8,Open
,,,,TOTAL,,,
