Invoice ID,Date,Vendor,Department,Amount,Status
INV-5127,24-Mar-2025, Wayne Logistics,R&D,"$8,684.38",Disputed
INV-5128,18-Mar-2025,Acme SaaS,Marketing,"$10,551.69",Pending
INV-5129,10-Mar-2025,Acme SaaS,Marketing,"$2,399.73",Paid
INV-5130,15-Mar-2025,Soylent Catering,Marketing,8325.94,Pending
INV-5131,05-Mar-2025, Globex Travel,Customer Success,11263.43,Pending
INV-5132,07-Mar-2025, Wayne Logistics,R&D,7145.24,Pending
INV-5133,04-Mar-2025,Globex Travel,Sales,"$8,662.74",Pending
INV-5134,18-Mar-2025,STARK EVENTS,Customer Success,"$7,403.06",Pending
INV-5135,06-Mar-2025,Acme SaaS,Customer Success,10474.97,Paid
INV-5136,15-Mar-2025, Initech Consulting,Operations,3817.79,Paid
INV-5137,01-Mar-2025, Initech Consulting,Sales,191.86,Pending
INV-5138,07-Mar-2025,Soylent Catering,Marketing,"$7,354.61",Disputed
INV-5139,18-Mar-2025,Soylent Catering,Customer Success,"$7,261.21",Paid
INV-5140,22-Mar-2025, Umbrella Supply,Operations,585.14,Disputed
INV-5141,22-Mar-2025, Hooli Ads,Marketing,"$5,090.94",Paid
INV-5142,10-Mar-2025,Initech Consulting,Operations,"$11,188.04",Paid
INV-5143,16-Mar-2025,Stark Events,R&D,"$10,143.22",Paid
INV-5144,07-Mar-2025,Globex Travel,Customer Success,"$5,053.03",Disputed
INV-5145,23-Mar-2025,ACME SAAS,Customer Success,"$11,848.19",Disputed
INV-5146,12-Mar-2025,Hooli Ads,Operations,6375.89,Paid
INV-5147,08-Mar-2025,Soylent Catering,R&D,9724.57,Paid
INV-5148,20-Mar-2025, Umbrella Supply,Marketing,"$8,889.00",Pending
INV-5149,10-Mar-2025,WAYNE LOGISTICS,Sales,$283.87,Paid
INV-5150,11-Mar-2025,Globex Travel,Operations,"$9,239.34",Paid
INV-5151,27-Mar-2025,Wayne Logistics,Marketing,"$10,009.71",Paid
INV-5152,28-Mar-2025,Soylent Catering,Sales,5855.72,Disputed
INV-5153,24-Mar-2025,Stark Events,Marketing,"$10,046.00",Paid
INV-5154,27-Mar-2025,Acme SaaS,Operations,$934.62,Paid
INV-5155,20-Mar-2025,Stark Events,Sales,"$6,916.13",Paid
INV-5156,08-Mar-2025,Hooli Ads,Marketing,"$3,367.24",Paid
INV-5157,26-Mar-2025,Soylent Catering,Customer Success,"$3,732.47",Paid
INV-5158,05-Mar-2025,Umbrella Supply,Marketing,9618.45,Paid
INV-5159,25-Mar-2025,Stark Events,Customer Success,"$3,827.75",Paid
INV-5160,01-Mar-2025, Initech Consulting,R&D,8607.08,Paid
INV-5161,04-Mar-2025,Acme SaaS,Marketing,4099.48,Disputed
INV-5162,09-Mar-2025,HOOLI ADS,Sales,"$3,952.43",Disputed
INV-5163,01-Mar-2025,Stark Events,Operations,"$1,919.45",Disputed
INV-5164,26-Mar-2025,Globex Travel,Operations,3361.97,Paid
INV-5165,01-Mar-2025,Umbrella Supply,Operations,"$6,555.84",Pending
INV-5166,19-Mar-2025, Acme SaaS,R&D,4794.21,Pending
INV-5167,25-Mar-2025,Stark Events,Customer Success,1080.77,Pending
INV-5168,21-Mar-2025,INITECH CONSULTING,R&D,"$1,302.57",Pending
INV-5169,06-Mar-2025,Soylent Catering,Customer Success,"$3,207.93",Paid
INV-5170,28-Mar-2025, Stark Events,R&D,"$1,487.71",Paid
INV-5171,23-Mar-2025,Hooli Ads,Sales,"$6,169.20",Paid
INV-5172,14-Mar-2025, Stark Events,Operations,"$6,463.03",Paid
INV-5173,23-Mar-2025,Umbrella Supply,R&D,$932.81,Disputed
INV-5174,22-Mar-2025,Wayne Logistics,Operations,"$6,602.64",Paid
INV-5175,06-Mar-2025,SOYLENT CATERING,Operations,6727.79,Paid
INV-5176,16-Mar-2025, Wayne Logistics,Customer Success,"$9,290.42",Paid
INV-5177,01-Mar-2025, Globex Travel,Customer Success,10853.58,Paid
INV-5178,22-Mar-2025,Initech Consulting,Customer Success,"$6,998.49",Paid
INV-5179,23-Mar-2025,Hooli Ads,Operations,11034.24,Paid
INV-5180,10-Mar-2025,Globex Travel,Customer Success,"$4,939.74",Paid
INV-5181,12-Mar-2025,Stark Events,Marketing,8484.75,Paid
INV-5182,13-Mar-2025,Hooli Ads,Customer Success,"$4,822.08",Pending
INV-5183,13-Mar-2025,Wayne Logistics,Sales,"$5,777.23",Paid
INV-5184,01-Mar-2025,Wayne Logistics,Sales,"$1,741.19",Paid
INV-5185,14-Mar-2025,Soylent Catering,Sales,1153.26,Pending
INV-5186,12-Mar-2025,Wayne Logistics,R&D,"$6,691.79",Paid
INV-5187,17-Mar-2025, Initech Consulting,R&D,"$10,184.63",Paid
INV-5188,23-Mar-2025,Wayne Logistics,Marketing,11742.07,Paid
