Order ID,Date,Product,Region,Units,Revenue,Channel
SO-2001,2025-01-03,Echo Desk,South,1,247.79,Online
SO-2002,2025-01-25,Beacon Lamp,S.,1,284.64,Retail
SO-2003,2025-01-21,Echo Desk,West,6,2054.90,Retail
SO-2004,2025-01-01,Aurora Lamp,S.,14,1253.56,Retail
SO-2005,2025-01-16,Beacon Lamp,east,8,996.92,Online
SO-2006,2025-01-25,Aurora Lamp,South,11,6407.62,Wholesale
SO-2007,2025-01-07,Fjord Table,North,9,2760.68,Retail
SO-2008,2025-01-11,Beacon Lamp,west,6,3447.15,Retail
SO-2009,2025-01-16,Delta Chair,East,14,1291.18,Online
SO-2010,2025-01-20,Delta Chair,N.,10,"$4,589.79",Retail
SO-2011,2025-01-11,Echo Desk,North,11,"$1,487.77",Retail
SO-2012,2025-01-06,Echo Desk,East,2,268.94,Retail
SO-2013,2025-01-08,Cedar Shelf,S.,1,418.50,Retail
SO-2014,2025-01-08,Beacon Lamp,north,8,2587.48,Online
SO-2015,2025-01-02,Echo Desk,north,13,3486.34,Retail
SO-2016,2025-01-13,Aurora Lamp,E.,5,$297.33,Online
SO-2017,2025-01-05,Cedar Shelf,South,12,"$5,375.33",Wholesale
SO-2018,2025-01-05,Echo Desk,West,4,"$2,174.74",Retail
SO-2019,2025-01-05,Echo Desk,west,10,"$5,454.50",Wholesale
SO-2020,2025-01-05,Echo Desk,East,13,"$5,767.19",Wholesale
SO-2021,2025-01-19,Aurora Lamp,E.,6,2403.37,Retail
SO-2022,2025-01-06,Cedar Shelf,West,3,$358.50,Online
SO-2023,2025-01-05,Fjord Table,West,2,1051.42,Retail
SO-2024,2025-01-06,Echo Desk,east,8,4298.04,Online
SO-2025,2025-01-23,Delta Chair,S.,12,"$4,176.24",Wholesale
SO-2026,2025-01-25,Fjord Table,North,7,"$2,098.41",Wholesale
SO-2027,2025-01-08,Beacon Lamp,south,12,4546.86,Retail
SO-2028,2025-01-26,Beacon Lamp,E.,15,8920.06,Wholesale
SO-2029,2025-01-11,Delta Chair,N.,10,736.29,Wholesale
SO-2030,2025-01-03,Cedar Shelf,E.,10,3344.41,Wholesale
SO-2031,2025-01-04,Cedar Shelf,south,2,436.27,Online
SO-2032,2025-01-17,Fjord Table,N.,14,6892.16,Wholesale
SO-2033,2025-01-03,Aurora Lamp,west,9,2945.56,Online
SO-2034,2025-01-19,Aurora Lamp,N.,7,$444.80,Retail
SO-2035,2025-01-16,Fjord Table,west,13,"$2,241.26",Online
SO-2036,2025-01-20,Fjord Table,North,8,"$1,094.36",Online
SO-2037,2025-01-20,Delta Chair,East,8,"$4,426.72",Retail
SO-2038,2025-01-23,Echo Desk,North,6,918.84,Online
SO-2039,2025-01-24,Aurora Lamp,South,9,1885.12,Wholesale
SO-2040,2025-01-12,Delta Chair,North,12,3391.60,Wholesale
SO-2041,2025-01-09,Echo Desk,south,2,"$1,145.39",Online
SO-2042,2025-01-06,Fjord Table,South,10,4253.72,Retail
SO-2043,2025-01-06,Delta Chair,west,8,"$3,084.57",Wholesale
SO-2044,2025-01-12,Delta Chair,East,4,"$2,344.39",Wholesale
SO-2045,2025-01-20,Fjord Table,East,2,$641.35,Retail
SO-2046,2025-01-10,Fjord Table,West,1,$567.27,Online
SO-2047,2025-01-27,Delta Chair,East,6,798.44,Retail
SO-2048,2025-01-08,Echo Desk,north,4,1094.39,Online
SO-2049,2025-01-27,Echo Desk,West,11,"$4,025.55",Wholesale
SO-2050,2025-01-18,Fjord Table,South,1,318.52,Wholesale
SO-2051,2025-01-05,Delta Chair,W.,13,"$5,442.17",Retail
SO-2052,2025-01-22,Cedar Shelf,E.,11,496.93,Online
SO-2053,2025-01-02,Beacon Lamp,N.,14,"$2,047.90",Online
SO-2054,2025-01-02,Aurora Lamp,west,11,"$5,302.00",Online
SO-2055,2025-01-24,Beacon Lamp,E.,5,1343.57,Wholesale
SO-2056,2025-01-24,Delta Chair,north,14,2277.47,Retail
SO-2057,2025-01-28,Echo Desk,South,12,"$2,956.28",Retail
SO-2058,2025-01-20,Aurora Lamp,E.,1,161.70,Wholesale
SO-2059,2025-01-23,Echo Desk,north,7,"$1,103.79",Retail
SO-2060,2025-01-13,Aurora Lamp,East,10,"$1,884.93",Wholesale
