Campaign ID,Date,Channel,Spend,Clicks,Conversions
CMP-539,2/20/2025,search,7380.75,1115,39
CMP-540,2/1/2025,Paid Search,"$2,140.80",7426,180
CMP-541,2/19/2025,Paid Search,6323.52,1643,10
CMP-542,2/24/2025,Display,"$1,260.32",7088,570
CMP-543,2/17/2025,Banner,4806.08,6971,295
CMP-544,2/8/2025,Banner,"$5,364.98",5143,438
CMP-545,2/26/2025,Paid Search,"$4,210.56",4103,183
CMP-546,2/14/2025,Banner,2642.54,5541,250
CMP-547,2/16/2025,social,4202.53,435,37
CMP-548,2/27/2025,E-mail,973.37,2437,171
CMP-549,2/18/2025,Paid Search,"$5,961.34",8966,799
CMP-550,2/10/2025,Display,840.06,1156,5
CMP-551,2/9/2025,Search,3512.11,5570,557
CMP-552,2/20/2025,display,"$6,628.03",7962,779
CMP-553,2/26/2025,search,"$2,662.63",2990,38
CMP-554,2/14/2025,Email,7733.35,8148,420
CMP-555,2/16/2025,Social Media,7754.27,4682,357
CMP-556,2/23/2025,Banner,4905.21,3147,182
CMP-557,2/24/2025,search,5462.56,1397,52
CMP-558,2/8/2025,Display,"$3,212.48",2192,14
CMP-559,2/6/2025,Social Media,"$3,844.52",6911,344
CMP-560,2/24/2025,Search,"$7,166.13",3307,127
CMP-561,2/12/2025,Search,"$7,223.20",400,16
CMP-562,2/11/2025,Search,"$3,095.35",7596,434
CMP-563,2/16/2025,Email,6339.00,196,11
CMP-564,2/27/2025,search,5615.21,5613,490
CMP-565,2/25/2025,Paid Search,2814.06,5872,384
CMP-566,2/12/2025,Email,2631.76,5382,389
CMP-567,2/13/2025,Social,4035.30,807,50
CMP-568,2/8/2025,Email,7171.97,474,0
CMP-569,2/12/2025,Banner,3461.50,4456,335
CMP-570,2/13/2025,Paid Search,"$1,247.51",5660,499
CMP-571,2/25/2025,Email,"$6,241.88",7803,747
CMP-572,2/23/2025,search,2068.48,1993,181
CMP-573,2/3/2025,Banner,1777.02,7285,50
CMP-574,2/8/2025,E-mail,"$7,654.29",312,1
CMP-575,2/23/2025,Search,"$5,070.11",5421,125
CMP-576,2/27/2025,Social Media,1424.70,6768,251
CMP-577,2/8/2025,email,1030.70,7203,26
CMP-578,2/3/2025,email,"$4,022.12",4310,115
CMP-579,2/12/2025,social,1035.25,3124,173
CMP-580,2/4/2025,Banner,662.52,3701,335
CMP-581,2/27/2025,display,3063.76,5472,286
